Date,Open,High,Low,Close,Volume,Adj Close
2011-10-14,416.83,422.00,415.27,422.00,20477400,403.35
2011-10-13,404.98,408.43,402.85,408.43,15220900,390.38
2011-10-12,407.34,409.25,400.14,402.19,22224500,384.42
2011-10-11,392.57,403.18,391.50,400.29,21631700,382.60
2011-10-10,379.09,388.81,378.21,388.81,15804100,371.63
2011-10-07,375.78,377.74,368.49,369.80,19123500,353.46
2011-10-06,373.33,384.78,371.80,377.37,29020800,360.70
2011-10-05,367.86,379.82,360.30,378.25,28088200,361.54
2011-10-04,374.57,381.80,354.24,372.50,44059900,356.04
2011-10-03,380.37,382.64,373.17,374.60,23896400,358.05
2011-09-30,387.12,388.89,381.18,381.32,19558600,364.47
2011-09-29,401.92,402.21,386.21,390.57,23253100,373.31
2011-09-28,400.19,403.74,396.51,397.01,15344200,379.47
2011-09-27,408.73,409.25,398.06,399.26,22589200,381.62
2011-09-26,399.86,403.98,391.30,403.17,29031300,385.36
2011-09-23,400.28,406.74,399.85,404.30,19509900,386.44
2011-09-22,401.03,409.82,396.70,401.82,34588600,384.07
2011-09-21,419.64,421.59,412.00,412.14,21642000,393.93
2011-09-20,415.25,422.86,411.19,413.45,27705500,395.18
2011-09-19,397.00,413.23,395.20,411.63,29423600,393.44
2011-09-16,395.54,400.50,395.03,400.50,24946900,382.80
2011-09-15,391.43,393.66,389.90,392.96,14922100,375.60
2011-09-14,387.02,392.21,385.76,389.30,19097300,372.10
2011-09-13,382.14,386.21,380.25,384.62,15734300,367.63
2011-09-12,373.00,380.88,371.90,379.94,16708300,363.15
2011-09-09,383.93,386.00,375.02,377.48,20171900,360.80
2011-09-08,382.40,388.61,382.31,384.14,14862800,367.17
2011-09-07,385.56,385.60,382.00,383.93,12520600,366.97
2011-09-06,367.37,380.33,366.48,379.74,18203500,362.96
2011-09-02,374.74,378.00,371.83,374.05,15676400,357.52
2011-09-01,385.82,387.34,380.72,381.03,12275900,364.19
2011-08-31,390.57,392.08,381.86,384.83,18663800,367.83
2011-08-30,388.25,391.84,386.21,389.99,14925800,372.76
2011-08-29,388.18,391.50,388.00,389.97,14473900,372.74
2011-08-26,371.17,383.80,370.80,383.58,22909900,366.63
2011-08-25,365.08,375.45,365.00,373.72,31119500,357.21
2011-08-24,373.47,378.96,370.60,376.18,22366700,359.56
2011-08-23,360.30,373.64,357.00,373.60,23458400,357.09
2011-08-22,364.51,364.88,355.09,356.44,19118400,340.69
2011-08-19,362.17,367.00,356.00,356.03,27710300,340.30
2011-08-18,370.84,372.65,361.37,366.05,30408400,349.88
2011-08-17,382.31,384.52,378.00,380.44,15787900,363.63
2011-08-16,381.52,383.37,376.06,380.48,17812500,363.67
2011-08-15,379.63,384.97,378.09,383.41,16448000,366.47
2011-08-12,378.07,379.64,374.23,376.99,18892000,360.33
